Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,_EVT_mean,_EVT_media,_EVT_major,LF20_EVT_2,LF20_EVT_1,LF20_EVT_3,LF20_EVT_4,maj_veg_cl,LF20_EVT_6,LF20_EVT_7,LF20_EVT_8,LF20_EVT_9,LF20_EVT10,LF20_EVT11,LF20_EVT12,LF20_EVT13,LF20_EVT14,LF20_EVT15,LF20_EVT16,LF20_EVT17,LF20_EVT18,x,y
WY4475010487219880814,,NEW HAVEN,Wildfire,"6304",MTBS,Initial,"6118","44.750","-104.872",1988/08/14,"503402919880811","503402919880827",,"-8","-9999","-970","-150","75","376","700",,7309.766863130321326,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.8752949350,44.7554696888
SD4369010351219900912,,SWEDLUND,Wildfire,"7083",MTBS,Extended,"14673","43.690","-103.512",1990/09/12,"503303019880703","503303019910728","503303019901029","-3","-9999","-970","-150","25","196","400",,7240.542759320698678,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-103.5035128890,43.7062866291
SD4355710350119910404,,SHIRTTAIL,Wildfire,"7340",MTBS,Initial,"6828","43.557","-103.501",1991/04/04,"503303019900420","503303019910423",,"11","-9999","-970","-150","85","299","550",,7260.200898964237240,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.5041214182,43.5659720450
SD4401610351719910405,,HORSE CREEK/MCVAY,Wildfire,"7341",MTBS,Extended,"2084","44.016","-103.517",1991/04/05,"503302919890620","503302919910712","503302919910509","-89","-9999","-970","-150","-10","156","350",,7278.739399765032431,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-103.5197540821,44.0175765167
SD4387310327519921013,,HERMOSA FIRE,Wildfire,"7807",MTBS,Initial,"3905","43.873","-103.275",1992/10/13,"503303019921002","503303019921018",,"-61","-9999","-970","-150","85","300","9999",,7475.716700819672042,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.2786191798,43.8734704089
SD4326310372619950905,,INDIAN CANYON,Wildfire,"9027",MTBS,Initial,"1693","43.263","-103.726",1995/09/05,"503303019930903","503303019950925",,"56","-9999","-970","-150","105","306","550",,7294.227839789888094,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.7292313876,43.2677947397
SD4360710339119950913,,REDVALLEY,Prescribed Fire,"9013",MTBS,Initial,"1707","43.607","-103.391",1995/09/13,"503303019930903","503303019950925",,"20","-9999","-970","-150","60","550","9999",,7328.412808138776199,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3905838989,43.6138178426
SD4374910332319960210,,EAST GATE,Wildfire,"9583",MTBS,Initial,"1145","43.749","-103.323",1996/02/10,"503303019950925","503303019960216",,"92","-9999","-970","-150","180","9999","9999",,7400.844150796735448,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3220261152,43.7484469352
SD4362010337919960501,,BOUNDARY,Wildfire,"10004006",MTBS,Initial,"2779","43.635","-103.418",1996/05/01,"503303019920612","503303019960607",,"-12","48","-970","-150","0","9999","9999",,7346.056639999999788,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4177911384,43.6339260223
SD4358610346219970509,,LOOKOUT POINT,Wildfire,"9893",MTBS,Initial,"1445","43.586","-103.462",1997/05/09,"503303019970322","503303019970626",,"9","-9999","-970","-150","5","242","500",,7321.401972872996339,7179.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4522104991,43.5911990970
WY4366710408519970831,,DEWEY 2,Wildfire,"9825",MTBS,Extended,"4376","43.667","-104.085",1997/08/31,"503403019970820","503403019980823","503403019971007","-39","-9999","-970","-150","-150","228","580",,7168.308729270525873,7141.000000000000000,7125.000000000000000,Inter-Mountain Basins Big Sagebrush Steppe,"7125","2125",Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,Shrubland,"604",Big Sagebrush Shrubland and Steppe,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"230","151","41","0.901961","0.592157","0.160784",-104.0903829107,43.6751771425
SD4362410344920000714,,HIGHLAND CREEK,Wildfire,"11645",MTBS,Extended,"1263","43.624","-103.449",2000/07/14,"703303020000712","703303020010816","703303020000728","-47","-9999","-970","-150","15","232","475",,7241.145976404296562,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4475198046,43.6204935754
WY4479910480120000811,,WOOD DRAW,Wildfire,"11265",MTBS,Initial,"5702","44.799","-104.801",2000/08/11,"703402919991005","703402920001007",,"-26","-9999","-970","-150","100","331","600",,7357.473879286801093,7125.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.7976626564,44.8113019419
SD4331410351820000811,,FLAGPOLE MOUNTAIN,Wildfire,"11401",MTBS,Initial,"7703","43.314","-103.518",2000/08/11,"503303020000805","503303020000821",,"10","-9999","-970","-150","120","352","625",,7215.762822918170059,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.5213226937,43.3079595160
WY4429410460920000818,,A HAGERMAN,Wildfire,"11269",MTBS,Initial,"1742","44.294","-104.609",2000/08/18,"503402920000812","703402920000820",,"-25","-9999","-970","-150","70","275","425",,7473.266598700140094,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.6006511325,44.2880978088
SD4381510387820000824,,JASPER,Wildfire,"11644",MTBS,Extended,"82298","43.815","-103.878",2000/08/24,"503303020000602","503303020010605",,"-23","-9999","-970","-150","75","268","500",,7404.283896873843332,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.8752992890,43.8276535046
WY4454110477220000902,,WEEHINKLE,Wildfire,"11643",MTBS,Initial,"1976","44.541","-104.772",2000/09/02,"503402920000828","703402920000905",,"-17","-9999","-970","-150","60","343","650",,7187.001799572601158,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.7735844148,44.5413602840
SD4379110322020010106,,MISSILE RD,Wildfire,"12213",MTBS,Initial (SS),"2164","43.791","-103.220",2001/01/06,,"703303020010309",,"-9999","-9999","9999","9999","-40","-9999","-9999",,7332.452566735112669,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.1974789168,43.7928309120
SD4374510335020010419,,DRY CREEK 2 (C),Wildfire,"12215",MTBS,Initial,"1126","43.745","-103.350",2001/04/19,"503303020000501","703303020010512",,"14","-9999","-970","-150","95","262","475",,7321.290348101265408,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3520185701,43.7490057712
WY4373810408120010730,,ELK MOUNTAIN 2,Wildfire,"12023",MTBS,Extended,"13758","43.738","-104.081",2001/07/30,"703403020000719","503403020020717","703403020010807","56","-9999","-970","-150","100","318","575",,7146.088950660180672,7125.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.0916799923,43.7368467471
SD4365310385420010731,,ROGERS SHACK,Wildfire,"12024",MTBS,Extended,"11794","43.653","-103.854",2001/07/31,"503403020010730","503403020020717","703403020010807","10","-9999","-970","-150","75","174","325",,7263.219228229077999,7141.000000000000000,7085.000000000000000,Northwestern Great Plains Shrubland,"7085","2085",Sh Northwestern Great Plains Shrubland,Shrub,Shrubland,"604",Big Sagebrush Shrubland and Steppe,SRM 612: Sagebrush-Grass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"122","93","65","0.478431","0.364706","0.254902",-103.8360403876,43.6484177242
WY4442610477320010905,,MCFARLAND,Wildfire,"11990",MTBS,Initial,"1501","44.426","-104.773",2001/09/05,"503402920010831","703402920010924",,"-55","-9999","-970","-150","85","366","675",,7328.899999999999636,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.7779656869,44.4246345397
SD4336610366720010926,,WEST HELL CANYON,Wildfire,"12025",MTBS,Initial,"11127","43.366","-103.667",2001/09/26,"703303020000915","703303020011019",,"-35","-9999","-970","-150","85","450","9999",,7190.257786296118866,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.6690012524,43.3777876784
SD4353210347920011008,,BISON FLAT,Prescribed Fire,"12190",MTBS,Extended,"1508","43.532","-103.479",2001/10/08,"703303020010816","703303020020429","703303020011019","373","-9999","-970","-150","200","395","650",,7233.852824067246729,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4812732866,43.5312829481
SD4434810369820020629,,GRIZZLY GULCH,Wildfire,"12571",MTBS,Extended,"11487","44.348","-103.698",2002/06/29,"703302920010816","503302920030814","503302920020726","64","-9999","-970","-150","200","368","600",,7215.161121111820648,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-103.7111495831,44.3504850610
SD4391610335820020816,,BATTLE CREEK,Wildfire,"12572",MTBS,Extended,"15034","43.916","-103.358",2002/08/16,"703303020010816","503303020030814","503303020020827","60","-9999","-970","-150","185","376","625",,7307.091690332505095,7179.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3688220214,43.9204346925
SD4360610340920021019,,HIGHLAND,Prescribed Fire,"12774",MTBS,Extended,"1142","43.606","-103.409",2002/10/19,"703303020020702","503303020030713",,"52","-9999","-970","-150","50","150","9999",,7214.664460879719627,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4120902294,43.6137706991
SD4363210404820030721,,RED POINT,Wildfire,"13037",MTBS,Extended,"18057","43.632","-104.048",2003/07/21,"503403020030704","503403020040620","503403020030805","43","-9999","-970","-150","90","276","505",,7186.612990627732870,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.0693531426,43.6639766761
SD4362410339620040415,,RED VALLEY,Prescribed Fire,"13698",MTBS,Extended,"4254","43.624","-103.396",2004/04/15,"703303020000525","503303020040629",,"220","-9999","-970","-150","200","368","600",perimeter provided by Wind Cave NP,7298.101824264283096,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.3949572887,43.6298415665
WY4468010427020040831,,BASIN DRAW,Wildfire,"13802",MTBS,Initial,"4655","44.680","-104.270",2004/08/31,"503402920040807","503402920040908",,"28","-9999","-970","-150","220","376","600",,7293.606188130648661,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-104.2629255273,44.6938680394
SD4421510341420050708,,RICCO,Wildfire,"14192",MTBS,Extended,"3553","44.215","-103.414",2005/07/08,"503302920050702","503302920060619","503302920050718","14","-9999","-970","-150","150","283","475",,7210.532861792688891,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-103.4143196278,44.2098634327
WY4434710418220050723,,CEMENT,Wildfire,"14193",MTBS,Extended,"3032","44.347","-104.182",2005/07/23,"503402920030720","503402920060728",,"50","-9999","-970","-150","200","342","550",,7626.370704845814544,7179.000000000000000,7179.000000000000000,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,"7179","2179",Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",-104.1842986925,44.3461007747
SD4362710347620051025,,TOWER,Prescribed Fire,"14488",MTBS,Initial,"1206","43.627","-103.476",2005/10/25,"503303020041104","503303020051107",,"-13","-9999","-970","-150","175","9999","9999",,7303.947970479704964,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",-103.4768724267,43.6273738149
